#TYPE System.Management.Automation.PSCustomObject
"Time","Type","Message"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501922"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9672"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501924"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9677"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501939"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9678"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501942"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9677"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9676"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501945"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9677"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9676"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501946"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9667"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501947"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9665"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501948"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9645"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9676"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501950"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9667"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501954"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9638"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9661"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501956"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9673"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501982"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9682"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501991"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9659"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501992"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9667"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501996"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9670"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501997"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9665"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501998"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9665"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502000"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9645"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502002"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9667"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502003"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9665"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502032"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9668"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502033"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9638"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502039"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9645"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9635"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502042"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9665"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502052"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9677"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502053"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9667"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502054"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9677"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502056"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9638"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso504750"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9653"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso505695"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9683"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso503415"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9644"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502069"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9677"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9675"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502070"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9667"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502071"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9670"
